countryName,xLoc,yLoc,population,Colors
Turkey,696.734375,218.16666666666666,10.430724304896948,"rgba(248,101,63,1)"
Kenya,706.4562500000001,352.5388888888889,8.258873793962163,"rgba(78,32,168,1)"
France,726.8625,188.22222222222223,9.600949626361682,"rgba(226,232,153,1)"
United States of America,331.48125000000005,205.97777777777776,27.34243484651459,"rgba(29,56,63,1)"
Japan,1270.0125,213.9,13.756356836499464,"rgba(78,224,167,1)"
Australia,1250.04375,463.45,6.663360193086946,"rgba(2,251,48,1)"
China,1138.21875,235.2777777777778,100,"rgba(151,248,144,1)"
Ghana,710.8875,324.81111111111113,6.9083956936990365,"rgba(164,160,26,1)"
South Africa,814.7249999999999,509.05555555555554,8.838399918707276,"rgba(105,111,130,1)"
